timestamp	angle	queries	added	notes
2026-06-06T00:30:00Z	coop-asymmetric-puzzle-2024-2025	co-op asymmetric two player puzzle game steam 2024 2025 hidden	1	Split Brain ADDED (Dec 2024 asymmetric escape room, 94%); WWH Expeditions + Tick Tock + Friendship catalog
2026-06-06T00:33:00Z	coop-deckbuilder-roguelike-with-ending	co-op deck builder roguelike game steam two player campaign with ending	1	Azoove ADDED (final boss Fiend of Fortune, 91%); Ragtag Heroes (34 reviews) too few; Hellcard + Across Obelisk catalog
2026-06-06T00:36:00Z	coop-bullet-hell-shoot-em-up	co-op shoot em up bullet hell game steam 2024 2025 two player	2	Windowkill ADDED (secret final boss + credits, 96%); Astroloot ADDED (2p campaign + endgame, 92%); Chrono Bullet + DEFECT unreleased
2026-06-06T00:40:00Z	coop-dungeon-crawler-ARPG-hidden-gem	co-op dungeon crawler ARPG hidden gem steam two player campaign with ending 2024 2025 2026	0	Last Epoch catalog; Witherbloom reeval (unreleased); Hell Clock hard-block (no_coop, SP only despite article); Fellowship reeval (endless live service seasons)
2026-06-06T00:43:00Z	coop-submarine-2024-2025	co-op submarine game steam two player campaign with ending finite 2024 2025	0	Barotrauma+We Need to Go Deeper catalog; Abyss Crew reeval (18 reviews); Wolfpack reeval (EA abandoned 2019, no shipped campaign)
2026-06-06T00:46:00Z	coop-kaiju-giant-monster	co-op kaiju giant monster boss fighting game steam two player campaign 2024 2025 hidden finite	1	Dawn of the Monsters ADDED (35 missions, beat-em-up, 88%); GigaBash hard-block (PvP only); Me You Kaiju reeval (VR party); Kaiju Wars hard-block; Fighto Fantasy hard-block (SP only)
2026-06-06T00:49:00Z	coop-ninja-samurai-campaign	co-op ninja samurai action game steam two player campaign story 2024 2025 hidden finite	1	Samurai Riot DE ADDED (branching story beat-em-up, 76%); TMNT Splintered Fate catalog
2026-06-06T00:51:00Z	coop-cyberpunk-hacker	co-op cyberpunk hacker game steam two player campaign story 2024 2025 ending	0	Operation Tango+Hacktag catalog; Ticking Together reeval (44 reviews); CyberCorp reeval (endless procedural loot shooter)
2026-06-06T00:54:00Z	coop-asymmetric-horror	co-op two player horror game steam asymmetric campaign ending 2024 2025 hidden gem	0	All hits blocklisted/endless (R.E.P.O., Lethal Company, Outlast Trials, BIGFOOT)
2026-06-06T00:56:00Z	narrative-coop-2player-2024-2025	two player narrative co-op story driven steam 2024 2025 like Split Fiction It Takes Two A Way Out hidden gem	0	All hits (Split Fiction, As Dusk Falls, UNSIGHTED, Brothers Remake) already catalog
2026-06-06T00:58:00Z	coop-underwater-diving	co-op underwater diving exploration game steam two player campaign with story ending 2024 2025	0	Murky Divers reeval (Lethal-style endless loot); Ocean Keeper reeval (endless wave defense); Barotrauma+WNTGD catalog
2026-06-05T12:30:00Z	eleven-puzzles-curator	co-op puzzle escape detective steam curator Eleven Puzzles	1	Found Unboxing Cryptic Killer; Parallel Experiment + Unsolved Case already in catalog
2026-06-05T12:35:00Z	co-op-horror-finite-2024-2025	co-op horror finite campaign steam 2025 not Lethal Phasmophobia	1	Found Emissary Zero; SCP CB MP skip (sessional); Nuclear Nightmare skip (sessional Lethal-clone); PILGRIM + Backrooms already in catalog
2026-06-05T12:40:00Z	steambase-coop-campaign-page1	steambase best co-op campaign games page 1	1	Found Relic Hunters Zero Remix; Escape Memoirs Questionable; Sonic Racing Crossworlds PvP only; Blood Fresh Supply delisted
2026-06-06T01:00:00Z	phase4-multi-angle-2025-releases	co-op heist tank zombie JRPG horror racing puzzle 2024-2025 steam release	1	Linebound ADDED (asymmetric draw-and-platform co-op, free, 92%); 11 skips: Directive 8020 (no online launch), Tetris Forever/Super Woden/Turbo Sliders/Crazy Wheels/Barro (PvP only), Ironclad (unreleased), Armored Battle Crew/NG Ragebound (SP only), Wendigo Blue (EA), Granblue Relink (campaign solo only), Dead Motherland (49%)
2026-06-06T01:30:00Z	creative-burst-mw-rad-abyssus-inkinside-lct-spiritmancer-unrailed	mech robot piloting; underrated indie action-adventure; cooking restaurant finite; hack-and-slash 2D demon; co-op trains finite	7	MW5 Clans ADDED (5p Clan campaign, 74%); RESEARCH and DESTROY ADDED (turn-based 3-scientist campaign, 92%); Abyssus ADDED (brinepunk FPS roguelite final Brine boss, 85%); Ink Inside ADDED (hand-drawn action-RPG 9-12h campaign, 97%); Let's Cook Together ADDED (150+ levels 3 seasons, 97%); Spirit Mancer ADDED (2D demon hack-slash to Demon Queen, 78%); Unrailed! ADDED soft 🟠 (collect bolts → Terminal Station ending, 93%); skips: Chefs Together (endless level-up), LCT2 (45 reviews <50), Tribe Nine (no_coop), Anomaly Agent (no_coop), Pizza Possum (coop_too_short <1h main), Drop Duchy (no_coop), Evershine (unreleased), Out of Sight (no_coop)
2026-06-06T01:45:00Z	wikipedia-coop-cleanup	wikipedia list of cooperative video games — final residuals	1	MW2 2009 Spec Ops ADDED (re-listed on Steam, 93%, 23 coop missions); 6 skips: Fable III/Eragon/Fairytale Fights/Evil Islands/Earth 2150 Trilogy/Earth 2160 (not_on_steam or no_coop)
2026-06-06T01:55:00Z	beat-em-up-2025-hidden-gem	co-op beat em up brawler steam 2024 2025 hidden gem campaign two player ending	1	Fallen City Brawl ADDED (7 stages, pixel beat-em-up, 80%); Ra Ra Boom too few reviews; Wendigo Blue EA; Fight'N Rage + Marvel Cosmic Invasion catalog
2026-06-06T02:00:00Z	steam-topsellers-coop-residual	Steam topsellers coop campaign category — phase4 re-walk residuals	0	Ace Combat 8 reeval (upcoming Oct 2026); ST Extermination logged endless (wave extraction); Pampas & Selene already catalog; remaining results all known
2026-06-06T02:15:00Z	creative-burst-cooking-snowboard-paddle-detective	co-op delivery courier; restaurant management story; golf tour ending; digging archaeology; aviation/airship; cooking restaurant 2025; snowboarding winter sports; survival horror; city builder colony; escape room narrative; mech battle; detective noir	3	Diner Bros 2 ADDED (themed restaurant campaigns 87%); Slopecrashers ADDED (126-event arcade snowboard campaign 94%); Paddle Paddle Paddle ADDED (one giant lava parkour level 89%); 11 skips: Keep Digging (endless 5000m loop), Mirage Biplane (1 review), Project Wingman (no_coop SP), Brothers in Blood (14% positive), Big Walk (unreleased 2026), Haunting Joni Evers (no_coop SP), Dune Awakening (MMO 40p/server), The Escape Together (EA since 2023), Cyberbots (not_on_steam), The Enigma Cases (unreleased), Shift At Midnight (unreleased+endless), Loco Motive (no_coop SP)
2026-06-06T02:30:00Z	creative-burst-fishing-tabletop-tank-werewolf-extraction-newrelease	co-op fishing campaign; tabletop board adapt; tank crew commander; werewolf vampire; extraction shooter finite; new 2025-2026 steam releases co-op tag	0	GONE Fishing → endless Lethal-style EA; Fish Hunters → unclear_ending; Steel Crew → pvp_primary; DreadMoon → EA+DLC fragmented 60%; Rogue Remastered → no_coop SP only; Dungeon Escape → 3 reviews; Incursion Red River → endless extract loop; Together Moon Escape duplicate (already catalog); BOKURA/DYO/Thick as Thieves/Brothers Remake/Bread and Fred/Linebound/Rayman Legends all catalog; IKUMA/Solarpunk in reeval; Nightmare Kart → pvp_primary; Tribots/Follow Us/Guinea Pig/Cold Transit/Beyond the Soil/GEODE/Ethereal Storm all too few reviews (just-released June 2026); Penguin Heist → unclear_ending live-service sandbox 20-heists+continuous updates; Gombo/Backrooms No Escape/WASTED Bloodline/Cafe Crew Simulator all too few reviews
2026-06-06T02:55:00Z	creative-burst-flight-mech-factory-twin-sticker-detective-roguelike	dogfighting flight combat ww2; co-op factory automation; mech robot piloting; kids family adventure; pixel art rpg jrpg; tower defense; metroidvania; submarine; classic remaster; horror not Lethal; free-to-play campaign; survival pixel; twin stick shooter; train transport sim; pirate; comedy adventure; obscure indie; christmas platformer; tactical stealth like Door Kickers; roguelike new release; sports kart racing; detective mystery; visual novel; western cowboy; Steam Next Fest 2026	4	Dogfight 1942 ADDED (WWII split-screen co-op campaign 79%); Starbound ADDED (procedural space sandbox with The Ruin boss 90%); Unrailed 2 Back on Track ADDED (biomes-to-final-station campaign 88%); BROK the InvestiGator ADDED soft 🟠 (punch&click adventure, P2 only in fights 97%); 5 skips: Chronigma (no_coop SP only), Tears of Metal (0 reviews just released), Of Ash and Steel (no_coop SP only), HAM: The Game (endless escalating difficulty), Romestead (endless EA sandbox). All other surfaced candidates already in catalog/reeval (Lovers Spacetime, Sea of Stars, Roboquest, LEGO Voyagers, In Sink, Escape Simulator, Door Kickers 2, Anima Flux, Get Together, etc).
2026-06-06T03:10:00Z	creative-burst-roguelite-fps-alchemy-fantasy-fps	roguelite fps final boss; alchemy potion crafting witch wizard; boomer shooter retro fps campaign	4	Section 13 ADDED (Indie twin-stick roguelite, Nefilim final boss, 70% needs-review); Potion Party ADDED (12-mission time-management alchemy, 93%); Potion Shop Simulator ADDED soft 🟠 (find-the-owner story arc then shop loop continues, 84%); GRAVEN ADDED (dark fantasy FPS-RPG, 3 bosses across biomes, 54% needs-review); 12 skips: SaGa Emerald Beyond/Keep Driving/Poco/Blade Chimera (no_coop SP only); VR Giants (VR-only outside catalog scope); Hela: of Mice & Magic (unreleased 2026); Noobs Are Coming (reverse-roguelike 30min arena, no traditional ending); Potion Brew Co-op (sandbox no campaign); Witchspire (unreleased Jun 2026); Chains of Fury (32% positive, no co-op); WRATH Aeon of Ruin/Beyond Citadel (SP only)
2026-06-06T03:40:00Z	arcade-compilations-and-niche-puzzle-shmup	co-op arcade compilation 80s retro classic; co-op puzzle game; vertical shmup; co-op platformer 4 player	6	Konami Arcade Anniversary ADDED (8 80s shmups, 64% needs-review); Eigengrau ADDED (50+ stages 10 bosses 100%); Princess Farmer ADDED (9-chapter VN+match-3 95%); UNDER DEFEAT ADDED (5-stage helicopter shmup remaster 96%); Micro Mages ADDED (NES-style 4P platformer 96%); Darius Cozmic Arcade ADDED (4 Darius shmups w/ branching paths 95%); 12 skips: IGS Classic (coming_soon 2026); Bang Bang Barrage (endless 15min runs); Wires And Whiskers (20-30min coop_too_short); Stitchlings (~1h coop_too_short); BattleCap (endless wave defense); Plunder Panic (PvP-primary 12p); Cosmo's Quickstop (finish_unverified soft sim); Saints Row 3 Full Package (FAIL appdetails); SpongeBob BFBB Rehydrated (coop=horde mode no Sweet Victory ending); Critter Crunch (campaign SP-only, coop=endless Survival); Play With Gilbert (open-ended sandbox no objectives); Ys vs Trails in the Sky (PvP fighting game)
2026-06-06T04:30:00Z	creative-burst-shmup-brawler-genre-gaps	co-op pinball golf bowling; steampunk clockwork puzzle; caving spelunking exploration; June 2026 indie release; base defense; vehicle simulator truck train airplane; cozy farming life sim; space combat dogfight; JRPG turn-based; brawler boss-rush arcade; investigation paranormal supernatural; naval submarine warfare; robot mech action; visual novel narrative; city builder survival village; fishing diving sandbox; puzzle escape room two player; two player only campaign; precision platformer short; shoot-em-up vertical arcade	4	Abathor ADDED (Golden Axe-inspired pixel brawler, 50+ stages, 91% positive); CYGNI: All Guns Blazing ADDED needs-review (KONAMI cinematic vertical shmup 7 stages, 64% positive); Deathsmiles I・II ADDED (Cave gothic-witch bullet-hell bundle, 95% positive); CounterAttack: Uprising ADDED (side-scrolling space shmup w/ 600+ upgrades, 91% positive); 12 skips: Mayhem Brawler II (coming_soon), Spirit of the Island (endless life sim), Kabounce (pvp_primary pinball), Arvoch Alliance SE (7 reviews), Transport Fever 2 (no_coop SP only), The Other Side (endless contracts loop), Forgotten Seas (finish_unverified — devs AWOL), Modern Naval Warfare (no_coop SP only), Awaysis (coming_soon), Operation DogFight (16 reviews), What'Sub (endless extraction + 35 reviews), Kingdoms Reborn (endless sandbox). Already-in-catalog/reeval/blocklist also hit: Trine 1-5, The Cave, Dogfight 1942, Frogun Encore, Roboquest, DoDonPachi, Sky Force, Ikaruga, Under Defeat, Generation Zero, Biped, Bellwright, Sea of Stars, Bokura, In Sink, Escape Simulator 1/2, Escape Academy, Supermarket Together, Spitchlings, Murky Divers, Wolfpack, Little Nightmares III, Marvel Cosmic Invasion, Ants Took My Eyeball, Helldivers 2, Once Human, Arc Raiders, Windrose, Walkabout VR.
2026-06-06T05:40:00Z	steam-more-like-this-chicory-seed5	chicory more-like-this similar games carousel	0	All 14 candidates surfaced (Exocolonist, Beastieball, Wilmot Works It Out, FEIST, 868-BACK, Overland, CorgiSpace, Night in the Woods, Wandersong, TUNIC, Wilmot's Warehouse, Chicory OST/Artbook, Steam News) are single-player narrative or not-games — zero co-op leads. Source force-advanced (bursts_on=2 anti-stall cap).
2026-06-06T05:50:00Z	creative-cooking-tank-golf-paranormal-fossil-newrelease	co-op food truck cooking 2024-2025; tank battle 2024-2025; golf bowling sports career; exorcism paranormal not Phasmophobia; archaeology dig fossil dinosaur; Steam co-op campaign sorted newest	2	SEDAP! A Culinary Adventure ADDED (42-level Overcooked-meets-monster-hunter, 68% needs-review); Fossil Hunters ADDED (30+ hand-crafted cave levels, casual dino-build co-op, 82%); 11 skips: ConnecTank (41 reviews <50); Tank Team (PvP-primary 8p sessional); PGA TOUR 2K25 (career SP-only, coop=casual rounds); CARGO + PACS (coming_soon); Cooking Sim 2 BT + Super Battle Golf already in reeval; Deathground (extraction sessional Lethal-style); Ghost Exorcism INC + Exorcist Simulator (Phasmo-clone endless contracts); The Hauntings (coming_soon); 6 just-released June 2026 indies all <50 reviews (Stoned to Death, Wonder Warp, Chroma Climb, Crazy Caveman, Fire Pit, Sitting Ducks)
2026-06-06T06:30:00Z	creative-puzzle-tactics-heist-rhythm-jrpg-soulslike-survival	puzzle/tactics/heist/rhythm/JRPG/metroidvania/Soulslike/survival/Japanese-indie/Annapurna/roguelite	3	Morkredd ADDED (2P light/shadow physics puzzler, 60+ chambers, dark ending, 80%); Gal Guardians: Servants of the Dark ADDED (Inti Creates metroidvania sequel, final boss + two endings, 65% needs-review); Muck ADDED (free Dani survival-roguelike, 5 Guardians + Bob the Dragon ending, 93%); 6 skips: CO-OP TWINS (0 reviews coming_soon), Taiko no Tatsujin Rhythm Festival (42 DLC live-service, no campaign ending), Mitsume (loop-based 20-40min sessions no finite ending), Malice (994 reviews 24% positive Mostly Negative), SWAPMEAT (EA Oct 2025 full release 2026), Restaurats re-logged endless (Career has no defined endpoint, Friendslop is 21-day session loop). Catalog/reeval dupes: Thick As Thieves, Outward 2, Adventures of Elliot, Path of Exile 2, Cave Story+, Spitchlings, Reanimal, LEGO Batman Legacy, Crashout Crew, RV There Yet, Stellar Settlers/Space Engineers/etc identified as endless not logged.
2026-06-06T08:30:00Z	phase4-creative-saturated-2-adds	wasdland; puzzle escape room; metroidvania; tactics; shooter campaign; platformer; nerdy type; asymmetric; 2026 release; dungeon crawler; fishing/diving; kart racing; zombie	2	Boat Together ADDED (8p paddle-to-final-island arcade-goal 81%); Dead Island Riptide DE ADDED (4p AAA zombie campaign 71%). 20+ candidates checked — catalog now saturated for these angles; near-everything either in-catalog/reeval/hard-block. Crawl logged hard-block (PvP-only). In the Same Boat reeval (unreleased TBA). IKUMA still coming_soon. Hela still unreleased.
2026-06-06T10:00:00Z	steam-coop-category-by-reviews-deep-scan	Steam search category2=9 (Co-op) sorted by Reviews_DESC offset 0+50 — deep scan past saturated front of list	6	CATO Buttered Cat ADDED (free puzzle platformer P1 cat P2 toast 200+ levels 98%); Platypus Reclayed ADDED (claymation shmup remake 25 stages 99%); Garbanzo Quest ADDED (bullet-heck sidescroller 50+ levels 6 worlds 98%); Monster Prom 4 Monster Con ADDED (4p dating sim 2h+ session multi-endings 99%); Chicken Invaders 4 ADDED (cult cartoon shmup intergalactic chickens online co-op 99%); Chicken Invaders 2 ADDED (2002 classic remastered 2P RPT 96%). 10 skips: Vibrant Venture (EA since 2020 still no 1.0), Handshakes (~1h coop_too_short), Snail Simulator (MMO hard-block), VPet-Simulator (sandbox no goal), Placid Plastic Duck (chill sim no goal), Hidden in Plain Sight (PvP-primary), Monster Prom 2 Monster Camp (30-60min too short), Zombie Estate 2 (endless wave shooter), Wheelchair Wizards (PvP-primary), Vital Shell (co-op meaningfulness unclear)
2026-06-06T09:00:00Z	youtube-curator-playlists-finish-saturation-check	underrated/hidden-gem/split-screen/survival/portal-puzzle/metroidvania/May 2026 indie	0	0 adds. DuneCrawl currently has online co-op + final boss + 75%/584 reviews but is hard-blocked as no_coop — logged owner-review contradiction (likely a STALE pre-release block). All other surfaced candidates already in catalog/reeval/hard-block: Styx 2 / Outward / Together Moon Escape / Split Fiction / Cult of the Lamb / It Takes Two / RV There Yet / Stage Fright (reeval unreleased) / Outward 2 (reeval coming_soon) / Adventures of Elliot (reeval coming_soon) / Lovers in a Dangerous Spacetime / Abiotic Factor / We Were Here / Human Fall Flat / Salt and Sanctuary / Guacamelee 2 / Pampas and Selene / Revenge of the Savage Planet / Cave Story+ (hard-block no_coop on Steam) / Solasta II (hard-block no_coop) / Crime Simulator (reeval endless) / The Break-In (reeval endless) / Paranoia Place (reeval endless) / Storebound (reeval EA) / Blood Typers / HELLCARD / Secrets of Grindea / Echo Point Nova / Thick as Thieves / Subnautica 2 (reeval). 4 new reevals logged: Mad King Redemption (EA roguelite 88%/93 reviews, Mad King boss not confirmed in current build) / Underling Uprising (16 reviews <50) / Mothman (44 reviews <50, sessional Phasmo-clone) / Blue Ridge Hunting (EA cryptid Phasmo-clone with story campaign promised).
2026-06-06T10:30:00Z	wikipedia-final-walk-then-creative-saturated	Wikipedia coop-list final residuals + creative discovery (party games, indie-hidden-gem, tactical, shmup, platformer)	0	Wikipedia source exhausted — every candidate already in catalog/reeval/hard-block (A Valley Without Wind 1/2 reeval endless+low_quality, Drox Operative reeval endless, Din's Curse reeval, all major titles already added). 3 skips: Deviation Game (party-game endless loop), War Islands (32 reviews <50), Superstar Strategy (21 reviews <50). All other surfaced candidates known: Sync or Sink (reeval EA), Popucom (catalog), Far Far West (reeval EA), Dark Scrolls (reeval coming_soon), It's Only Money (reeval), Toodee and Topdee (reeval taxonomy_ambiguous), Jagged Alliance 3 / Wartales / Gloomhaven / Wasteland 3 / Stolen Realm / Absolum / Marvel Cosmic Invasion / Split Fiction / Toaplan re-releases all in catalog. Phase 4 pass 4 = yield 0; saturation strengthens — reset for pass 5 with new angles next burst.
2026-06-06T11:30:00Z	steam-coop-deep-scan-pages-8-10	Steam category2=9 Reviews_DESC pages 8-10 deep scan for niche titles past saturated front	5	RealRTCW ADDED (free fan WW2 occult shooter remaster, 8p online co-op campaign, 96%); Twin Shot Deluxe ADDED (Flash classic pixel remake 200+ archer-platformer levels w/ ending illustrations, 96%); Gum Squad ADDED (8p PvE top-down looter w/ "The End" achievement story, 100%); A World of Keflings ADDED (giant-builds-for-tiny-villagers cozy sim, 8p online, discrete kingdom quests, 99%); Kickback: Shoot to Move ADDED (2P roguelite where shooting moves you, 3-stage final boss, 100%). 10 skips: Antonball Deluxe + Slap City + Dusty Derby + Racingmaybe (pvp_primary); Last Train Outta Wormtown (1v15 PvP); Black Ice (Early Access since 2014, story still unfinished); Astro Duel 2 (platform fighter w/ a-few-hours bounty mini-mode, low_fit); A Corgi's Cozy Hike (open-world collectathon, finish_unverified); HYPERBEAT (rhythm game w/ 250p social hangout, story mode appears solo); Ancient Dungeon re-skip (VR Only).
2026-06-06T13:00:00Z	steam-coop-deep-scan-page11-start250	Steam category2=9 Reviews_DESC offset 250 (page 11) deep scan + skip reeval_skipped (saturated)	8	Unless ADDED (free precision speedrun platformer, 4 worlds 66 level screens, 98%); Brave Escape ADDED (Hit Start 2P co-op platformer w/ 48+ chapters, 98%); Pitfall Planet ADDED (2016 couch co-op puzzle adventure w/ bosses, 98%); Speed Crew ADDED (Wild Fields Overcooked-style 4 decades of championships, 98%); Goliath Depot ADDED (door-slamming 80s arcade 40 levels, 98%); Heads Adventures chibichibi ADDED (chibi physics platformer w/ time-race levels, 97%); CometStriker DX ADDED (neo-retro bullet-hell arcade shooter, 98%); Gregory Horror Show Soul of Roses ADDED (2D roguelite story-advance via ability absorption, 98%). 10 skips: B.A.N.K./Maid Cafe Coop/Minesweeper Together/Nekokami/The Zone FPV Drone/Monster Meals (endless); Cursed Deal (pvp_primary 4v1); Lost Frontier (low_fit TBS PvP+Co-op skirmish); Heartless & Dreadful (low_fit SP-focused); Mythmatch (low_fit narrative SP). Force-advanced off reeval_skipped (saturated, first 12 rows checked across prior bursts).
2026-06-06T14:00:00Z	steam-coop-deep-scan-page12-and-newest	Steam category2=9 Reviews_DESC offset 275 + Released_DESC offset 0 (newest releases)	1	Witch's Apocalyptic Journey ADDED (co-op deckbuilder roguelite, 4p online, branching apocalyptic endings, 81% positive 270 reviews); 17 skips: cheapskate (EA pre-alpha), Nekomew's Nightmares (no_coop local-only no RPT), Dudes on a Map (low_fit VTT tool), HyperRogue (endless co-op shmup score-attack), Virtual Cottage 2 (low_fit productivity app), Bung Ball (pvp_primary), Strange Pong (unclear_ending pong variant), Escape From Mandrillia (low_fit VR Only), Eterspire (mmo F2P MMORPG), and 8 just-released titles too few reviews: Kromex/Airport Security Sucks/Time to Love/Backrooms Blackhole/Alehundred/Realmlords/The Reserve/Project Microchip
2026-06-06T14:30:00Z	steam-coop-deep-scan-offset-300	Steam category2=9 Reviews_DESC offset 300 (page 13) deep scan for niche titles past page 12	10	TraumaCore Violence ADDED (2D psyche-escape action game w/ final boss, 97%); Cryptid Farm ADDED (16p online horror farming arcade-goal repair-tractor-escape, 98%); Goodboy Galaxy ADDED (GBA-style sci-fi 2D metroidvania platformer w/ rescue story, 96%); Tipston Salvage ADDED (1-4 RPT couch coop junkyard logistics puzzle 20+ levels, 96%); Two the Top ADDED (2P friend-pass mountain climb precision platformer 6 environments, 97%); Akai Katana Shin ADDED (Cave horizontal shmup 3-game collection w/ stages+bosses, 97%); Super Cable Boy ADDED (retro precision platformer w/ Glitch final boss, 98%); Very Very Valet ADDED (4P puppet valet 20+ chaotic parking levels, 98%); Desecrators ADDED (6-DOF Descent-style 4p online roguelite sci-fi shooter, 97%); Vectronom ADDED (psychedelic rhythm platformer 4p local with badges, 96%); 6 skips: Endgame Road to Salvation (early_access still ~90%), Touhou Crisis (coop_too_short single-boss 72hr jam ~10min), Bone's Cafe (finish_unverified — Skull Ranking campaign w/o defined endpoint), Knights Within (early_access multi-act+endless climber), The Black Heart (pvp_primary versus 2D fighter no co-op campaign), sunny-place (endless cute-girls-cars+apartment+social sandbox)
2026-06-06T15:00:00Z	steam-coop-deep-scan-offset-325-375	Steam category2=9 Reviews_DESC offset 325 + 375 (pages 14-15) deep scan	11	Castle on the Coast ADDED (3D collectathon giraffe parkour platformer w/ permanent flying-squirrel sidekick, 95%); Thy Sword ADDED (roguelike platformer w/ Dark Overlord, 97%); Grand Brix Shooter ADDED (brick-styled bullet-hell shmup Story Arcade Mode, 93%); MeowGun: Hell Denizen ADDED (cutegore retro FPS 30 levels 5 episodes, 97%); Spirits Abyss ADDED (same-screen roguelite platformer Guardian of Undying Gate, 96%); Arcade Mayhem Juanito ADDED (arcade-hopping platformer 80+ levels final boss, 94%); Two Cubes ADDED (2P online colour-touch platformer, 96%); Button Button Up! ADDED (4-maps platformer w/ boss checkpoints, 95%); Sigma Impact ADDED (physics 2D roguelite glass-dungeon final boss, 97%); This Is No Cave ADDED (one-click parkour space parkour 4p, 97%); Step By Step ADDED (cant-stop-moving arcade-goal reach-top, 98%). 10 skips: Petal Crash (low_fit Story is SP), Handy Dandy (coop_too_short ~1h), Toasterball (pvp_primary), Wand Wars (pvp_primary), SHRIMP GAME (low_fit demo), Suika Shapes (pvp_primary), Riftborne (endless 4X), The Black Heart (pvp_primary fighter), Go Morse Go (low_fit campaign SP only), Apocalypse Party DLC (low_fit DLC)
