timestamp	id	old_url_kind	new_video_id
2026-05-26T02:26:05Z	keywe	youtubeSearch	8TK7-nHBZQY
2026-05-26T02:26:18Z	moving-out	youtubeSearch	DYTqHcPubxQ
2026-05-26T02:26:31Z	roboquest	youtubeSearch	qR_zwoYPUrg
2026-05-26T02:26:44Z	gunfire-reborn	youtubeSearch	lwxoc5Eh_FQ
2026-05-26T02:26:57Z	ravenswatch	youtubeSearch	7OFllCT_3ck
2026-05-26T02:27:12Z	wizard-of-legend	youtubeSearch	7txCf5jTOy8
2026-05-26T02:27:24Z	death-road-to-canada	youtubeSearch	09XMf0N2lJU
2026-05-26T02:27:42Z	kane-lynch-2	youtubeSearch	r_vIMU02GTE
2026-05-26T02:27:57Z	towerfall-ascension	youtubeSearch	bkEaLWtVSqM
2026-05-26T02:28:10Z	capcom-beat-em-up-bundle	youtubeSearch	hg-RVzP4bHM
2026-05-26T02:28:23Z	metal-slug-3	youtubeSearch	wgjqoDmVods
2026-05-26T02:28:37Z	monaco	youtubeSearch	rWqM3YVZiJw
2026-05-26T02:28:51Z	the-cave	youtubeSearch	DjJKUBR-APY
2026-05-26T02:29:04Z	20xx	youtubeSearch	4OEcKZ9Cgok
2026-05-26T02:29:18Z	vagante	youtubeSearch	w3X8Orp_Fjo
2026-05-26T02:29:31Z	barony	youtubeSearch	FWyOf82UsXc
2026-05-26T02:29:43Z	across-the-obelisk	youtubeSearch	EKlhgaZfKgM
2026-05-26T02:29:58Z	escape-simulator	youtubeSearch	uGFNGZfWycs
2026-05-26T02:30:10Z	keep-talking-nobody-explodes	youtubeSearch	CAbLeIgUoTg
2026-05-26T02:30:26Z	remnant-1	youtubeSearch	gAmfVuLvIaI
2026-05-26T02:30:41Z	dead-island-de	youtubeSearch	urvxAMDosFY
2026-05-26T02:30:57Z	portal-knights	youtubeSearch	2jK1hIF2zfs
2026-05-26T02:31:13Z	chained-together	youtubeSearch	Lwm0xHPmRis
2026-05-26T02:31:28Z	pico-park	youtubeSearch	NGmOZbTYrr8
2026-05-26T02:31:40Z	road-redemption	youtubeSearch	Ta448FEU8VA
2026-05-26T02:31:51Z	edf-4-1	youtubeSearch	ivK7H9NMiUM
2026-05-26T02:32:05Z	assault-android-cactus	youtubeSearch	HaQogKg__es
2026-05-26T02:32:19Z	fightn-rage	youtubeSearch	KHLg7RsaDbc
2026-05-26T02:32:32Z	door-kickers-action-squad	youtubeSearch	AWhQx_zd_ns
2026-05-26T02:32:47Z	madness-project-nexus	youtubeSearch	gjSInV8P8Js
2026-05-26T02:33:01Z	chicory-colorful-tale	youtubeSearch	_C-hZZYiwPI
2026-05-26T02:33:14Z	rabbit-and-steel	youtubeSearch	jUxtCGIiA_4
2026-05-26T02:33:29Z	door-kickers-2	youtubeSearch	5JUcXnNydAg
2026-05-26T02:33:45Z	heavenly-bodies	youtubeSearch	MFAdHlHSJKg
2026-05-26T02:34:01Z	bang-on-balls-chronicles	youtubeSearch	IJSqPoeqfUk
2026-05-26T02:34:14Z	echo-point-nova	youtubeSearch	3Bx528Rgy7c
2026-05-26T02:34:29Z	stick-it-to-the-stickman	youtubeSearch	4C8EY6HUE34
2026-05-26T02:34:42Z	age-of-empires-2-de	youtubeSearch	B2lPFRtaMhc
2026-05-26T02:34:56Z	mindustry	youtubeSearch	WOYOnhhj8f8
2026-05-26T02:35:12Z	crypt-of-the-necrodancer	youtubeSearch	ytLz4ptBdN0
2026-05-26T02:35:28Z	trine-1	youtubeSearch	6Hj1kcojnSU
2026-05-26T02:35:43Z	outlast-trials	youtubeSearch	lqytOzHvRLA
2026-05-26T02:36:10Z	cook-serve-delicious	youtubeSearch	gkZIB7hCMTc
2026-05-26T02:36:23Z	mosa-lina	youtubeSearch	ExwgTFTC0tw
2026-05-26T02:36:37Z	dishwasher-vampire-smile	youtubeSearch	3CowOAg-F0Q
2026-05-26T02:38:24Z	dying-light	youtube	fo_fqfUd3q8
2026-05-26T21:59:34Z	wuppo	youtube	9YPHyP8QV88
2026-05-26T21:59:35Z	raging-justice	youtube	yh71RcrIbdM
