id	title	reason	notes
deep-rock-galactic-survivor	Deep Rock Galactic: Survivor	no_coop	app 2321470, Single-player only auto-shooter
deer-boy	Deer & Boy	no_coop	Single-player only per Steam categories; cinematic platformer June 2026 release (Dear Villagers); not a co-op game
deltarune	deltarune	no_coop	single-player RPG
dispatch	Dispatch	no_coop	single-player only per Steam categories
distance	Distance	pvp_primary	app 233610 Racing PvP-only multiplayer (Online PvP + Shared/Split Screen PvP); no co-op category
dnd-dark-alliance-2021	dnd-dark-alliance-2021	not_on_steam	
doom-2016	DOOM (2016)	no_coop	single-player campaign; MP is PvP [seen 3x; reasons: low_fit,no_coop]
doom-3-bfg	DOOM 3	no_coop	Categories show Multi-player but not Co-op — DOOM 3 BFG co-op was XBLA-only
doom-3-bfg-edition	DOOM 3 BFG Edition	no_coop	App 208200 (2012, BFG re-release). Steam categories: Single-player + Multi-player (deathmatch only, no co-op category). No campaign co-op.
doom-64	doom-64	no_coop	[seen 2x; reasons: no_coop]
doom-eternal	DOOM Eternal	no_coop	App 782330 (2020). Steam categories show only Single-player + PvP/Online PvP (Battlemode). No co-op category. Campaign is solo. [seen 3x]
doom-the-dark-ages	DOOM: The Dark Ages	no_coop	single-player [seen 2x; reasons: no_coop]
dr-fetus-mean-meat-machine	Dr. Fetus' Mean Meat Machine	no_coop	Single-player only puzzle game
dragon-s-crown	Dragon's Crown	not_on_steam	Vanillaware beat-em-up RPG, PS3/PS4/Vita exclusive — no Steam release.
drawquarium	drawquarium	no_coop	app 4045480 single-player only, coming soon
drop-duchy	Drop Duchy	no_coop	Steam appdetails: Single-player only, no co-op category
dungeon-siege	dungeon-siege	no_coop	Steam build is single-player only; original LAN/GameSpy co-op not present [seen 2x; reasons: no_coop]
dungeon-siege-2	Dungeon Siege II	no_coop	Steam version lists only Single-player; GameSpy/LAN multiplayer stripped, no Co-op or Remote Play Together category [seen 2x; reasons: no_coop]
dungeon-siege-3	region_restricted	invalid_app_id	[seen 3x; reasons: invalid_app_id,unknown]
dungeon-warfare-2	Dungeon Warfare 2	no_coop	Single-player only per Steam categories
dusk	dusk	no_coop	single-player; MP is PvP [seen 2x; reasons: no_coop]
dusty-derby	Dusty Derby	pvp_primary	32-player online PvP battle royale party game; no co-op campaign or finite ending; Early Access
ea-sports-wrc	EA Sports WRC	no_coop	Online PvP only - no co-op or split-screen co-op per devs (despite community requests; older WRC 6-10 had splitscreen but EA Sports WRC dropped it)
earth-2150-trilogy	Earth 2150 Trilogy	no_coop	Steam appdetails returns no categories (very old game, GameSpy-era multiplayer dead); no current online co-op.
earth-2160	Earth 2160	no_coop	Steam appdetails returns no categories (old game, GameSpy-era multiplayer); no current online co-op.
echoes-of-mystralia	echoes-of-mystralia	no_coop	single-player, no co-op category (also unreleased)
efootball	eFootball	pvp_primary	Free-to-play PvP football sim, no co-op campaign with ending [seen 2x; reasons: low_fit,pvp_primary]
eiyuden-chronicle	Eiyuden Chronicle: Hundred Heroes	no_coop	Steam categories show single-player only — no Co-op tag
eragon	Eragon	not_on_steam	Steam search returns only 'Eragon's Tale' (unrelated indie). Original 2006 Eragon movie tie-in was not released on Steam.
eterspire	Eterspire	mmo	Free-to-play MMORPG with Massively Multiplayer Steam tag and biweekly content updates
everything-is-crab	Everything is Crab	no_coop	no co-op category listed on Steam
evil-islands	Evil Islands	not_on_steam	Empty Steam search; 2000 Russian RPG, no Steam release.
f1-23	F1 23	delisted	No UAH or USD price — appears delisted (F1 yearly cycle replaces previous title)
fable-iii	Fable III	not_on_steam	Steam search returns no exact match; only Rogue Fable III + Endless Fables 3 (unrelated games). Original Fable III was Microsoft Store/GFWL only.
fae-farm	Fae Farm	no_coop	online multiplayer shut down Sept 2025; now single-player only [seen 4x; reasons: ambiguous,no_coop,online_broken]
fairytale-fights	Fairytale Fights	not_on_steam	Empty Steam search; Eidos 2009 console game, never released on Steam.
fallout-3	Fallout 3	no_coop	Single-player only per Steam categories
far-cry-4	far-cry-4	no_coop	
folgore	Folgore	no_coop	Single-player only per Steam categories
fragpunk	fragpunk	no_coop	PvP hero shooter
fraymakers	Fraymakers	pvp_primary	Smash-style PvP fighter; co-op mode is a minor side feature
fz-formation-z	FZ: Formation Z	no_coop	Single-player only per Steam categories
genome-guardian	Genome Guardian	no_coop	Single-player only roguelite turret shooter; no co-op categories
geometry-dash	geometry-dash	no_coop	single-player rhythm platformer; no co-op [seen 2x; reasons: no_coop]
geometry-wars-3	geometry-wars-3	no_coop	[seen 5x; reasons: duplicate,no_coop,unclear_ending]
gigabash	GigaBash	pvp_primary	Kaiju fighting game, PvP-only categories, no Co-op, app 1546400
gnaughty-gnomes	Gnaughty Gnomes	no_coop	PvP-only, no co-op categories
goblin-stone	Goblin Stone	no_coop	steam categories show single-player only
god-of-war	God of War	no_coop	Single-player only PC port
gordian-quest	gordian-quest	no_coop	
greak-memories-of-azur	greak-memories-of-azur	no_coop	
grid-legends	GRID Legends	no_coop	Steam categories: Single-player + PvP + Online PvP only, no Co-op category
griftlands	Griftlands	no_coop	Single-player only. Klei narrative deckbuilder. App 601840.
grind-survivors	Grind Survivors	no_coop	Single-player only per Steam categories
gta-iv-complete-edition	Grand Theft Auto IV: The Complete Edition	no_coop	No co-op category; SP campaign + PvP multiplayer
guns-gore-cannoli-2	guns-gore-cannoli-2	no_coop	
hades-ii	Hades II	no_coop	app 1145350, Single-player only
hail-to-the-rainbow	Hail to the Rainbow	no_coop	Single-player only per Steam categories; post-apocalyptic cyberpunk Nov 2025 release
half-life	half-life	no_coop	single-player [seen 2x; reasons: no_coop]
halo-infinite	Halo Infinite	no_coop	Steam categories list PvP only — campaign co-op not surfaced [seen 4x; reasons: low_fit,no_coop]
halo-wars-2	halo-wars-2	not_on_steam	[seen 2x; reasons: not_on_steam]
hell-clock	Hell Clock	no_coop	Steam single-player only, no co-op categories despite web articles claiming co-op
hell-let-loose	Hell Let Loose	pvp_primary	primarily 50v50 PvP, no co-op campaign
hidden-in-plain-sight	Hidden in Plain Sight	pvp_primary	Local PvP stealth party, eliminate other players — coop mode minor vs PvP focus
hogwarts-legacy	Hogwarts Legacy	no_coop	Known single-player only
hollow-knight	hollow-knight	no_coop	single-player metroidvania [seen 2x; reasons: no_coop]
hollow-knight-silksong	hollow-knight-silksong	no_coop	single-player metroidvania [seen 2x; reasons: no_coop]
hotline-miami	hotline-miami	no_coop	single-player only, no co-op
hotloop	Hotloop	no_coop	Single-player only per Steam categories, no co-op tag
hozy	Hozy	no_coop	single-player only [seen 3x]
hunted-the-demons-forge	hunted-the-demons-forge	no_coop	
hyper-demon	HYPER DEMON	pvp_primary	Online PvP only, no co-op
i-wanna-maker	I Wanna Maker	no_coop	no Co-op category; user-content level maker
indigo-park-chapter-1	Indigo Park: Chapter 1	no_coop	single-player only
invincible-vs	invincible-vs	no_coop	PvP fighting game [seen 3x; reasons: no_coop,pvp_primary]
ion-fury	ion-fury	no_coop	
is-this-seat-taken	Is This Seat Taken	no_coop	Single-player puzzle
jellymen	JellyMen	pvp_primary	Competitive split-screen party shooter; PvP last-man-standing, no ending
jumanji-the-video-game	Jumanji: The Video Game	invalid_app_id	appdetails success:false (delisted/region-locked); not returned by Steam app search - not purchasable [seen 7x; reasons: invalid_app_id,low_quality]
just-cause-4-reloaded	Just Cause 4 Reloaded	no_coop	Single-player only per Steam categories
kabounce	Kabounce	pvp_primary	Competitive multiplayer pinball arena — PvP listed before Co-op, no campaign or named ending
kaiju-big-battel-fighto-fantasy	Kaiju Big Battel: Fighto Fantasy	no_coop	Single-player turn-based RPG only, app 611710
kaiju-wars	Kaiju Wars	pvp_primary	Turn-based strategy PvP only, no Co-op category, app 1508400
keep-driving	Keep Driving	no_coop	SP only per Steam categories
kerbal-space-program	Kerbal Space Program	no_coop	Single-player sim
kill-knight	KILL KNIGHT	no_coop	Single-player only per Steam categories
killer-inn	KILLER INN	pvp_primary	Social deduction multiplayer (Among Us-like); round-based PvP, no campaign/ending
kovox-pitch	Kovox Pitch	no_coop	Single-player only per Steam categories
last-train-outta-wormtown	Last Train Outta' Wormtown	pvp_primary	asymmetric 1-Worm-vs-15-Pardners PvP; session-based rounds, no co-op campaign or finite ending
loco-motive	Loco Motive	no_coop	Single-player only point-and-click murder mystery (Steam app 1709880)
lost-in-random-eternal-die	lost-in-random-eternal-die	no_coop	
lost-planet-3	lost-planet-3	no_coop	
lost-words-beyond-the-page	lost-words-beyond-the-page	no_coop	
mage-arena	Mage Arena	pvp_primary	4v4 PvP voice spell battles, Early Access
map-map-a-game-about-maps	Map Map - A Game About Maps	no_coop	single-player only in Steam categories
marvels-spider-man-2	marvels-spider-man-2	no_coop	single-player only (Insomniac)
marvels-spider-man-miles-morales	marvels-spider-man-miles-morales	no_coop	single-player only
marvels-spider-man-remastered	marvels-spider-man-remastered	no_coop	single-player only
mega-man-11	Mega Man 11	no_coop	Single-player only per Steam categories
melatonin	Melatonin	no_coop	Single-player only per Steam categories
modern-naval-warfare	Modern Naval Warfare	no_coop	Steam categories list Single-player only despite reviews mentioning crew positions; app 1816640
monster-prom	Monster Prom	pvp_primary	Multi-player is PvP/Online PvP/Shared-Split PvP only - no co-op category. The MP4 game (in catalog) added a co-op story; MP1 didn't.
monster-sanctuary	monster-sanctuary	no_coop	
mouse-pi-for-hire	MOUSE: P.I. For Hire	no_coop	single-player [seen 2x; reasons: no_coop]
muse-dash	muse-dash	no_coop	single-player rhythm game
myvoicezoo	MyVoiceZoo	no_coop	single-player idle game [seen 4x]
nekomew-s-nightmares	Nekomew's Nightmares	no_coop	Local-only Shared/Split Screen, no Remote Play Together
newt-and-tess	newt-and-tess	not_on_steam	Steam search returns no match
nightmare-kart	Nightmare Kart	pvp_primary	App 2930160, free vehicular combat racer; Steam categories list PvP/Shared-Split PvP only — no Co-op category
ninja-gaiden-ragebound	NINJA GAIDEN: Ragebound	no_coop	Single-player only; no Co-op or Multi-player categories
ninza	Ninza	pvp_primary	competitive brawler/fighter 4p PvP main mode, co-op is just training; rollback netcode for vs play
nova-drift	Nova Drift	no_coop	Single-player shooter per Steam categories
oceaneers	Oceaneers	no_coop	Early Access; no co-op category listed on Steam
of-ash-and-steel	Of Ash and Steel	no_coop	Single-player only per Steam categories; medieval fantasy RPG, no multiplayer mode
one-piece-pirate-warriors-4	ONE PIECE: PIRATE WARRIORS 4	no_coop	only PvP/Online PvP category; no co-op or Remote Play Together
orcs-must-die	Orcs Must Die!	no_coop	App 102600 (2011). Steam categories: Single-player only. The original game had no co-op; co-op added in OMD2.
out-of-sight	Out of Sight	no_coop	Single-player only horror/puzzle (The Gang, blind girl premise); no co-op category
outer-wilds	Outer Wilds	no_coop	Known single-player only
outland	Outland	not_on_steam	Delisted: 'Outland is no longer available on the Steam store.' (app 305050) [seen 4x]
ova-magica	Ova Magica	no_coop	single-player only in Steam categories
painkiller-black-edition	painkiller-black-edition	no_coop	
plunder-panic	Plunder Panic	pvp_primary	12-player party game with 2 rival crews PvP battling for treasure; co-op is co-op-vs-AI within team, fundamentally PvP
poco	Poco	no_coop	SP only per Steam categories
pragmata	PRAGMATA	no_coop	Single-player only per Steam categories
primal-carnage-extinction	Primal Carnage: Extinction	pvp_primary	"Chaotic prehistoric PvP" — pure PvP game, no campaign/ending
project-wingman	Project Wingman	no_coop	Single-player only flight combat (Steam app 895870)
r-type-final-2	R-Type Final 2	no_coop	Single-player only per Steam categories
racingmaybe	Racingmaybe	pvp_primary	turn-based drag-racing PvP, ~10min matches, no campaign or co-op story mode
rainbow-six-siege	rainbow-six-siege	no_coop	PvP-focused; PvE is endless hunt, no finite co-op campaign
rangers-path-national-park	Ranger's Path: National Park Simulator	no_coop	Single-player only per Steam categories
ratchet-and-clank-rift-apart	ratchet-and-clank-rift-apart	no_coop	single-player only
red-alert-3	Command & Conquer Red Alert 3	no_coop	steam_categories_single_player_only_gamespy_online_dead_post_2014
resident-evil-7	Resident Evil 7 Biohazard	no_coop	single-player [seen 2x; reasons: no_coop]
resident-evil-7-biohazard	Resident Evil 7 Biohazard	no_coop	Steam categories: Single-player only. No co-op category at all. Steam app 418370.
resident-evil-operation-raccoon-city	resident-evil-operation-raccoon-city	not_on_steam	
restore-your-island	Restore Your Island	no_coop	single-player only
ride-5	RIDE 5	no_coop	only PvP racing categories; no co-op
rift-of-the-necrodancer	Rift of the NecroDancer	no_coop	Single-player rhythm spinoff
rise-of-the-triad-ludicrous	rise-of-the-triad-ludicrous	no_coop	
rivals-of-aether	rivals-of-aether	no_coop	PvP platform fighter [seen 2x; reasons: low_fit,no_coop]
rivals-of-aether-ii	rivals-of-aether-ii	no_coop	PvP platform fighter
rocksmith-2014	Rocksmith 2014 Edition REMASTERED	no_coop	music_learning_tool_not_a_coop_game
rogue-remastered	Rogue Remastered	no_coop	App 3316990, Single-player category only — no co-op support
sacred-2-gold	sacred-2-gold	no_coop	
saga-emerald-beyond	SaGa Emerald Beyond	no_coop	SP only per Steam categories
scourgebringer	ScourgeBringer	no_coop	Single-player only per Steam categories
sektori	Sektori	no_coop	Single-player only per Steam categories
sephonie	sephonie	no_coop	
shadow-complex-remastered	Shadow Complex Remastered	no_coop	App 385560. Steam categories: Single-player only. Metroidvania, no co-op support.
shellshock-live	shellshock-live	no_coop	PvP artillery, no ending [seen 2x; reasons: low_fit,no_coop]
skul-the-hero-slayer	Skul: The Hero Slayer	no_coop	Single-player only per Steam categories
slap-city	Slap City	pvp_primary	platform fighter (Smash-style) — PvP-primary; co-op modes are vs-CPU arcade not a campaign
slime-rancher	slime-rancher	no_coop	single-player only
slime-rancher-2	Slime Rancher 2	no_coop	Single-player only per Steam categories
sniper-ghost-warrior-contracts-2	Sniper Ghost Warrior Contracts 2	no_coop	Single-player only [seen 3x; reasons: no_coop]
solasta-ii	Solasta II	no_coop	Single-player only, no Multi-player category [seen 2x; reasons: no_coop]
sonic-racing-crossworlds	Sonic Racing CrossWorlds	no_coop	PvP only — no co-op category, only Shared/Split Screen PvP
souldiers	souldiers	no_coop	
south-park-the-fractured-but-whole	South Park: The Fractured But Whole	no_coop	single-player RPG, no online co-op
speedrunners	speedrunners	no_coop	competitive PvP party racer (Online PvP / Split Screen PvP categories, no Co-op); no co-op campaign or ending [seen 3x; reasons: no_coop]
spider-man-2	Marvel's Spider-Man 2	no_coop	Single-player only per Steam categories
spider-man-miles-morales	Marvel's Spider-Man: Miles Morales	no_coop	Single-player only
spider-man-remastered	Marvel's Spider-Man Remastered	no_coop	Single-player only
spirit-of-the-north-2	Spirit of the North 2	no_coop	single-player only, no co-op category [seen 3x; reasons: no_coop]
spitchlings	spitchlings	not_on_steam	no Steam match found
splitgate	Splitgate	pvp_primary	app 677620 PvP-primary arena portal shooter — wrong recommendation for co-op puzzle
spongebob-squarepants-titans-of-the-tide	SpongeBob SquarePants: Titans of the Tide	no_coop	Steam categories: Single-player only. No co-op. Steam app 2479650.
spongebob-titans-of-the-tide	SpongeBob SquarePants Titans of the Tide	no_coop	Steam categories list Single-player only, no Co-op/Remote Play Together [seen 2x; reasons: no_coop]
spyro-reignited-trilogy	Spyro Reignited Trilogy	no_coop	app 996580, no Co-op category, only Remote Play streaming (solo)
star-ocean-second-story-r	star-ocean-second-story-r	no_coop	
starfield	Starfield	no_coop	Bethesda single-player RPG
starward	Starward	no_coop	Single-player only per Steam categories
steel-crew	Steel Crew	pvp_primary	App 905970, Steam categories list PvP/Online PvP only — no Co-op category
stick-fight	stick-fight	no_coop	PvP party brawler
stray	stray	no_coop	single-player only
subnautica	Subnautica	no_coop	categories list Single-player only, no Multi-player
subnautica-below-zero	Subnautica: Below Zero	no_coop	Steam categories list Single-player only, no Co-op category.
suika-shapes	Suika Shapes	pvp_primary	Suika watermelon clone — PvP versus modes are the marketed core; co-op is the relaxing side mode without finish. app 2686690
super-bomberman-r-2	Super Bomberman R 2	no_coop	
super-woden-gp-2	Super Woden GP 2	pvp_primary	Multi-player is PvP only (Shared/Split Screen PvP + RPT); no Co-op category
tactical-breach-wizards	Tactical Breach Wizards	no_coop	Single-player turn-based tactics
tales-of-graces-f-remastered	Tales of Graces f Remastered	no_coop	app 2530980 Single-player only per Steam categories (no co-op or Remote Play category) [seen 5x]
tangy-td	tangy-td	no_coop	single-player tower defense, no co-op
tank-team	Tank Team	pvp_primary	Steam app 2587450; free-to-play 8-player PvP team-tank shooter, no co-op campaign, last-team-standing matches
team-sonic-racing	Team Sonic Racing	pvp_primary	Steam categories list PvP only (no Co-op tag); taxonomy.json examples_negative explicitly excludes 'team-sonic-racing (PvP-primary, not in catalog)'. Team Adventure mode is team-vs-AI racing, still competitive kart format.
tempest-rising	tempest-rising	no_coop	
tetris-forever	Tetris Forever	pvp_primary	Multiplayer is PvP only (Shared/Split Screen PvP + Remote Play Together); no Co-op category
the-august-before-chapter-one	The August Before: Chapter One	no_coop	app 2516940 single-player only [seen 2x; reasons: low_fit,no_coop]
the-black-heart	The Black Heart	pvp_primary	VS 2D fighting game in the tradition of Street Fighter; PvP-primary. app 1431780
the-finals	the-finals	no_coop	PvP-only live-service shooter, no co-op campaign
the-haunting-of-joni-evers	The Haunting of Joni Evers	no_coop	Single-player only walking sim horror (Steam app 2828590)
the-lord-of-the-rings-war-in-the-north	The Lord of the Rings: War in the North	not_on_steam	
the-midnight-walk	The Midnight Walk	no_coop	Single-player only per Steam categories (VR Supported); dark adventure from Lost in Random devs
the-plucky-squire	the-plucky-squire	no_coop	
the-slormancer	the-slormancer	no_coop	
the-talos-principle-2	The Talos Principle 2	no_coop	Single-player only — sequel did not add co-op
the-turing-test	The Turing Test	no_coop	Single-player only per Steam categories
time-wasters	time-wasters	no_coop	
tin-hearts	tin-hearts	no_coop	
touhou-hero-of-ice-fairy	touhou-hero-of-ice-fairy	no_coop	Single-player only, no co-op category [seen 2x; reasons: no_coop]
tower-of-babel-survivors-of-chaos	tower-of-babel-survivors-of-chaos	no_coop	single-player survivors-like, no co-op [seen 2x; reasons: low_fit,no_coop]
tower-of-guns	tower-of-guns	no_coop	
transport-fever-2	Transport Fever 2	no_coop	Single-player only in Steam categories — multiplayer mod exists but not official
trepang2	trepang2	no_coop	
trials-of-mana	Trials of Mana	no_coop	2020 Square Enix remake removed the original SNES 3-player co-op; Steam categories show Single-player only.
tribe-nine	TRIBE NINE	no_coop	Steam appdetails shows Single-player only; no co-op category (also In-App Purchases, gacha-style)
trinity-fusion	Trinity Fusion	no_coop	steam categories show single-player only [seen 3x; reasons: no_coop]
turbo-sliders-unlimited	Turbo Sliders Unlimited	pvp_primary	All multiplayer modes are PvP (Online/LAN/Shared Split PvP + RPT); no Co-op
ultimate-chicken-horse	Ultimate Chicken Horse	no_coop	PvP party platformer, not co-op
ultrakill	ultrakill	no_coop	single-player [seen 2x; reasons: no_coop]
uncharted-legacy-of-thieves	uncharted-legacy-of-thieves	no_coop	single-player only
uncharted-legacy-of-thieves-collection	UNCHARTED: Legacy of Thieves Collection	no_coop	Naughty Dog single-player
undefeated	UNDEFEATED	no_coop	Single-player only per Steam categories
undertale	undertale	no_coop	single-player RPG
victory-heat-rally	Victory Heat Rally	no_coop	PvP-only racing, no co-op category
wand-wars	Wand Wars	pvp_primary	Magic broom sports party game; PvP primary, no co-op campaign. app 422110
warhammer-40-000-space-marine-anniversary-edition	Warhammer 40,000: Space Marine - Anniversary Edition	pvp_primary	MP categories only Single-player + Multi-player (PvP); Exterminatus co-op DLC is endless wave defense
warhammer-40k-boltgun	Warhammer 40,000: Boltgun	no_coop	[seen 3x; reasons: no_coop]
warhammer-quest-2	warhammer-quest-2	no_coop	
warstone-td	Warstone TD	no_coop	Single-player only per Steam categories
way-of-the-hunter-2	Way of the Hunter 2	no_coop	Single-player only per Steam categories
wh40k-space-marine-anniversary	Warhammer 40,000: Space Marine - Anniversary Edition	no_coop	Single-player only (2011 game), no co-op category
wheelchair-wizards	Wheelchair Wizards	pvp_primary	4-player party game 'battle your friends while upgrading' — PvP-primary, free-to-play
wolcen-lords-of-mayhem	wolcen-lords-of-mayhem	no_coop	
wrath-aeon-of-ruin	WRATH: Aeon of Ruin	no_coop	SP only per Steam categories — Quake-style boomer FPS
ys-vs-trails-in-the-sky-alternative-saga	Ys vs. Trails in the Sky: Alternative Saga	pvp_primary	Fighting game crossover with Online PvP category; co-op is co-op-vs-AI within fighting bouts, fundamentally PvP-primary
ys-x-nordics	Ys X: Nordics	no_coop	Single-player only per Steam categories
ziggurat-2	ziggurat-2	no_coop	
zuma-deluxe	Zuma Deluxe	no_coop	Single-player casual puzzle, no co-op
